ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3
4.73, -0.49, -9.52, -0.06, -0.00, -0.02, 3.11, 0.39, 9.16, 0.06, -0.02, -0.04, -0.04, 9.06, 2.56, -0.00, -0.01, 0.01
5.09, 1.50, -9.91, -0.08, -0.01, -0.01, 5.00, 1.23, 8.30, 0.07, -0.06, -0.04, 0.19, 8.86, 3.22, -0.01, 0.00, -0.01
5.08, 1.35, -9.99, -0.07, -0.07, 0.01, 4.77, 1.02, 8.51, 0.09, -0.06, -0.05, 0.07, 8.94, .10, -0.03, 0.04, 0.01
5.31, 1.12, -9.87, -0.08, -0.02, -0.01, 4.23, 0.98, 7.96, 0.09, -0.06, -0.03, 0.08, 8.88, 2.99, 0.04, 0.05, -0.04
4.63, 1.75, -10.17, -0.14, -0.00, -0.01, 4.93, 0.71, 8.41, 0.07, -0.10, -0.03, 0.08, 9.03, 3.21, -0.03, 0.03, -0.02
4.42, 1.17, -9.43, -0.15, -0.02, -0.00, 4.57, 0.63, 8.63, 0.09, -0.10, -0.03, 0.18, 8.80, 3.09, -0.09, -0.05, 0.00
4.37, 1.09, -10.32, -0.11, 0.01, -0.03, 3.81, 0.75, 8.15, 0.07, -0.06, -0.02, 0.20, 8.99, 3.02, -0.00, -0.0, 0.01
4.44, 2.05, -10.15, -0.10, -0.01, -0.01, 4.50, 0.31, 7.90, 0.06, -0.07, -0.02, -0.04,8.94, 3.13, -0.01, -0.02, 0.01
3.62, 1.09, -9.87, -0.09, 0.00, -0.02, 4.02, -0.27, 8.83, 0.08, -0.02, -0.04, 0.25, 9.16, 3.02, 0.02, -0.03, -0.03
5.14, -0.24, -10.11, -0.08, -0.01, -0.02, 3.3, 0.51, 9.06, 0.09, -0.05, -0.01, 0.20, 9.11, 2.65, -0.02, 0.01, 0.00
6.50, 0.09, -9.20, -0.07, 0.03, -0.04, 1.18, 1.92, 9.23, 0.08, -0.07, 0.00, 1.37, 9.42, 0.34, 0.01, -0.00, 0.00
6.59, 1.39, -8.96, -0.06, 0.01, -0.04, 2.03, 1.46, 9.30, 0.07, -0.06, -0.02, 1.50, 9.56, 0.57, 0.01, 0.01, -0.01
6.74, 2.17, -8.56, -0.05, -0.01, -0.04, 2.06, 0.28, 9.41, 0.07, -0.05, -0.02, 1.10, 9.43, 0.73, 0.02, 0.01, -0.00
6.80, 2.34, -8.48, -0.06, 0.01, -0.03, 1.98, -0.09, 9.39, 0.08, -0.06, -0.03, 1.37, 9.62, 1.09, 0.07, 0.04, 0.01
6.31, 2.18, -8.85, -0.07, 0.00, -0.02, 2.67, 0.28, 9.28, 0.07, -0.05, -0.03, 1.02, 9.44, 1.37, 0.01, -0.01, -0.02
6.75, 1.48, -8.70, -0.07, -0.00, -0.03, 1.88, 0.78, 9.42, 0.07, -0.05, -0.02, 1.20, 9.44, 0.75, -0.01, -0.01, -0.02
7.27, 1.67, -8.20, -0.07, 0.00, -0.01, 2.70, 0.83, 9.27, 0.07, -0.06, -0.03, 1.31, 9.59, 0.79, 0.01, 0.01, 0.01
6.95, 1.62, -8.47, -0.05, -0.03, -0.04, 2.97, 0.75, 9.17, 0.07, -0.07, -0.04, 1.15, 9.56, 1.08, -0.00, 0.08, 0.01
6.33, 1.94, -8.95, -0.05, 0.00, -0.01, 2.85, 0.21, 9.23, 0.09, -0.06, -0.04, 1.00, 9.40, 1.44, 0.01, 0.04, 0.00
6.59, 1.93, -8.64, -0.06, -0.02, -0.04, 2.57, 0.11, 9.27, 0.07, -0.04, -0.03, 0.82, 9.36, 1.12, 0.06, 0.04, -0.05
3.86, 1.43, -9.76, -0.08, 0.00, 0.00, 7.59, -1.69, 6.23, 0.06, -0.04, -0.03, -0.24, 9.55, -2.19, -0.00, 0.03, -0.01
3.39, 0.07, -10.91, -0.13, 0.03, 0.02, 6.76, -1.15, 7.24, 0.01, -0.12, -0.02, -0.56, 9.68, -1.89, 0.00, 0.03, 0.02
3.43, 1.25, -10.75, -0.06, -0.00, -0.00, 7.70, -1.41, 6.22, 0.07, -0.04, -0.03, -0.33, 9.60, -1.69, 0.03, 0.02, 0.01
3.61, 1.31, -10.66, -0.06, -0.00, -0.02, 7.34, -1.59, 6.55, 0.08, -0.04, -0.02, -0.27, 9.52, -1.93, -0.00, 0.01, -0.02
4.57, 1.31, -10.29, -0.04, -0.02, 0.02, 7.75, -1.27, 6.18, 0.08, -0.02, -0.06, -0.54, 9.52, -1.82, 0.05, 0.00, -0.01
4.86, 2.06, -9.90, -0.06, -0.04, -0.01, 7.84, -1.84, 5.87, 0.08, -0.04, -0.03, -0.53, 9.48, -1.91, -0.00, -0.02, -0.01
4.36, 1.00, -10.41, -0.06, -0.02, -0.04, 7.54, -1.27, 6.40, 0.09, -0.04, 0.01, -0.18, 9.56, -1.93, 0.02, 0.01, 0.00
4.53, 2.71, -9.88, -0.05, -0.01, -0.01, 8.26, -2.27, 5.24, 0.09, -0.05, -0.03, -0.25, 9.52, -2.26, 0.00, -0.00, 0.00
4.48, 0.80, -10.39, -0.02, -0.03, -0.02, 7.96, -0.76, 6.00, 0.11, -0.00, -0.03, -0.31, 9.47, -2.18, 0.01, 0.04, -0.01
4.57, 1.56, -9.37, -0.05, -0.02, 0.01, 7.67, -1.28, 5.12, 0.07, -0.03, -0.04, -0.59, 9.52, -2.20, -0.00, 0.03, 0.00
1.43, -1.28, -10.48, -0.08, -0.02, 0.02, 2.90, -0.39, 9.19, 0.10, -0.05, -0.03, -0.65, 9.20, 2.22, -0.02, -0.05, -0.03
2.74, -1.30, -11.04, -0.07, -0.05, -0.01, 3.50, 1.18, 9.00, 0.07, -0.06, -0.03, -0.44, 9.05, 2.70, -0.02, -0.00, -0.01
2.79, 0.64, -11.02, -0.06, -0.03, -0.01, 4.52, 1.14, 8.60, 0.08, -0.06, -0.02, -0.47, 8.92, 2.88, 0.03, -0.03, -0.01
2.68, -0.09, -11.12, -0.05, -0.03, -0.01, 4.07, 0.80, 8.81, 0.11, -0.04, -0.02, -0.07, 9.39, 2.33, 0.02, -0.00, 0.03
2.76, 0.49, -11.04, 0.10, -0.05, -0.02, 4.45, 0.71, 8.59, 0.03, 0.10, -0.06, -0.26, 9.26, 2.62, 0.06, 0.00, 0.04
