ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3
6.81, -7.63, -1.48, -0.05, -0.03, -0.00, -1.04, 9.42, 1.60, 0.08, -0.04, -0.02, -0.14, 9.52, 1.32, -0.00, 0.01, -0.01
6.42, -8.00, -1.74, -0.05, -0.02, 0.01, -0.68, 9.48, 1.59, 0.07, -0.01, -0.04, 0.24, 9.34, 1.51, 0.02, -0.04, -0.02
6.90, -7.61, -1.86, -0.02, -0.06, -0.00, -1.43, 9.31, 1.63, 0.05, 0.03, -0.02, -0.01, 9.22, 1.27, 0.03, 0.02, -0.00
6.78, -7.78, -2.02, -0.05, 0.01, -0.00, -1.63, 9.41, 1.17, 0.08, -0.04, -0.03, -0.09, 9.50, 1.29, -0.01, -0.02, 0.01
7.18, -7.35, -0.83, -0.06, -0.01, 0.00, -0.88, 9.54, 1.03, 0.07, -0.04, -0.03, 0.18, 9.42, 1.51, 0.02, -0.00, 0.00
7.85, -6.71, -1.69, -0.06, 0.01, -0.00, -1.15, 9.47, 1.22, 0.07, -0.04, -0.02, 0.14, 9.43, 1.47, 0.01, -0.01, -0.01
8.21, -6.22, -1.54, -0.05, -0.04, 0.00, -1.63, 9.43, 0.91, 0.08, -0.02, -0.04, 0.27, 9.46, 1.11, 0.05, 0.02, -0.02
8.66, -5.26, -0.04, -0.15, -0.07, 0.11, -1.10, 9.58, 0.80, 0.02, -0.10, -0.12, 0.21, 9.54, 0.56, 0.01, 0.02, 0.02
8.59, -5.37, 0.09, -0.05, -0.01, -0.12, -0.64, 9.55, 0.67, 0.04, -0.02, 0.02, 0.06, 9.52, 1.36, 0.01, -0.02, -0.01
8.78, -5.11, 0.02, -0.05, -0.02, -0.01, -1.01, 9.53, 0.81, 0.08, 0.01, -0.04, -0.05, 9.65, 1.32, -0.01, 0.04, -0.01
3.75, -9.35, -3.13, -0.05, -0.02, -0.01, -0.20, 9.55, 1.41, 0.08, -0.02, -0.02, 1.08, 9.63, -1.11, 0.01, 0.01, 0.01
4.35, -9.20, -2.53, -0.06, -0.01, 0.00, -0.14, 9.64, 1.02, 0.07, -0.03, -0.03, 1.14, 9.64, -0.71, 0.01, -0.00, -0.01
4.30, -9.26, -2.59, -0.06, -0.02, -0.01, -0.23, 9.61, 1.25, 0.07, -0.04, -0.02, 1.10, 9.68, -1.36, -0.01, 0.01, -0.01
3.73, -9.38, -2.95, -0.05, -0.01, -0.00, 0.24, 9.53, 1.58, 0.08, -0.03, -0.02, 0.81, 9.75, -1.57, 0.03, -0.01, -0.02
4.63, -8.98, -2.93, -0.04, -0.04, 0.03, 0.66, 9.46, 1.82, 0.10, -0.01, -0.06, 0.83, 9.54, -0.96, 0.13, 0.04, -0.05
4.11, -9.23, -3.23, -0.06, -0.02, 0.01, 0.76, 9.52, 1.75, 0.07, -0.03, -0.03, 1.03, 9.61, -0.73, -0.03, -0.02, 0.02
4.77, -9.07, -2.09, -0.05, -0.02, -0.01, -0.04, 9.60, 1.24, 0.08, -0.02, -0.03, 1.06, 9.68, -0.96, 0.03, 0.01, 0.00
4.52, -9.21, -2.05, -0.05, -0.05, -0.00, 0.07, 9.64, 1.16, 0.08, 0.01, -0.03, 1.14, 9.50, -1.16, 0.07, 0.09, 0.01
4.32, -9.25, -2.39, -0.05, -0.02, 0.00, 0.69, 9.56, 1.50, 0.08, -0.04, -0.03, 0.86, 9.67, -0.79, -0.01, -0.01, -0.01
3.18, -9.65, -2.55, -0.07, -0.05, -0.03, 0.71, 9.66, 0.97, 0.06, -0.02, -0.01, 0.98, 9.62, -1.05, -0.04, 0.05, -0.05
5.77, -8.44, -2.57, 0.02, -0.06, -0.02, 1.55, 9.53, 1.60, 0.12, 0.04, -0.03, -0.43, 9.62, -2.06, 0.04, 0.00, 0.06
6.16, -8.00, -3.42, -0.06, -0.01, -0.01, 2.04, 9.21, 2.46, 0.08, -0.04, -0.03, -0.49, 9.66, -1.81, -0.01, 0.00, -0.00
6.37, -7.88, -3.13, -0.05, -0.01, -0.00, 2.01, 9.10, 2.88, 0.08, -0.03, -0.04, -0.33, 9.51, -1.60, 0.01, 0.00, 0.01
6.40, -7.72, -3.64, -0.08, 0.03, -0.01, 1.31, 9.12, 3.05, 0.08, -0.06, -0.03, -0.44, 9.66, -1.82, -0.00, -0.01, 0.02
6.43, -7.86, -2.92, -0.05, -0.02, 0.01, 1.24, 9.05, 3.22, 0.07, -0.02, -0.04, -0.53, 9.52, -1.87, 0.05, -0.01, -0.01
6.42, -7.95, -2.61, -0.06, -0.00, 0.01, 1.16, 9.18, 2.92, 0.07, -0.02, -0.04, -0.55, 9.56, -1.95, 0.04, -0.01, -0.00
6.30, -8.04, -2.61, -0.03, -0.02, 0.01, 1.51, 9.27, 2.56, 0.09, 0.06, -0.08, -0.62, 9.57, -1.55, 0.02, 0.04, 0.01
6.26, -8.05, -2.78, -0.07, -0.00, -0.00, 1.46, 9.42, 2.08, 0.08, -0.03, -0.03, -0.47, 9.56, -1.87, 0.01, -0.01, -0.00
6.02, -8.28, -2.36, -0.07, 0.00, -0.01, 1.63, 9.33, 2.29, 0.08, -0.04, -0.03, -0.38, 9.56, -2.04, 0.02, -0.01, 0.01
5.84, -8.26, -3.16, -0.08, 0.03, -0.01, 1.74, 9.35, 2.19, 0.08, -0.06, -0.04, -0.65, 9.61, -1.92, 0.02, 0.02, -0.00
4.87, -8.94, -2.70, -0.07, -0.00, -0.01, 0.49, 9.75, 0.23, 0.07, -0.06, -0.03, -0.19, 9.28, 2.05, -0.01, 0.01, 0.01
5.14, -8.45, -4.15, -0.07, -0.04, 0.02, 0.72, 9.68, 1.00, 0.06, -0.07, -0.03, -0.07, 9.28, 2.30, 0.06, 0.00, -0.02
4.98, -8.83, -3.32, -0.02, -0.13, -0.02, 1.06, 9.70, 0.58, 0.08, 0.02, -0.06, -0.10, 9.18, 2.36, 0.01, -0.03, 0.03
5.60, -8.30, -3.75, -0.05, -0.03, -0.01, 0.48, 9.66, 1.19, 0.08, -0.02, -0.03, -0.04, 9.18, 2.62, -0.01, 0.00, 0.01
5.83, -8.23, -3.43, -0.02, -0.04, 0.01, 0.40, 9.63, 0.98, 0.11, -0.01, -0.07, -0.08, 8.99, 2.73, 0.08, 0.03, 0.02
