ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3
6.07, -9.46, -6.59, -1.60, -0.33, -1.83, 3.10, 8.19, 3.25, -1.16, -0.55, 0.60, 0.40, 10.01, -0.64, 0.05, -0.03, 0.07
5.20, -1.87, -4.90, 1.67, 0.02, 2.19, 5.67, 3.31, 4.77, 1.60, 0.25, -1.52, 0.49, 9.33, 1.15, 0.10, -0.06, -0.03
3.19, 0.12, -3.97, -1.97, -0.05, -1.96, 6.09, 1.73, 4.30, -1.10, -0.45, 0.81, 0.63, 9.21, 2.27, -0.71, 0.02, 0.08
2.91, 1.51, -1.85, 0.80, 0.55, 1.00, 6.26, -0.60, 3.95, 0.91, 0.16, -0.90, 0.72, 8.38, 2.60, -0.03, 0.01, -0.03
4.03, 2.62, 0.96, 1.11, -0.15, 0.98, 7.88, -1.19, 2.14, 1.03, 0.76, -0.79, 1.26, 8.27, 3.29, -0.15, 0.05, -0.19
7.98, -8.00, -7.72, -2.90, 0.50, -2.71, 3.42, 6.97, 4.23, -2.62, -1.30, 1.59, 0.30, 11.20, -5.93, -0.92, -0.14, 0.10
8.59, -8.56, -7.35, 2.04, -0.39, 2.55, 2.24, 9.31, 4.1, 2.27, 1.06, -1.17, 0.31, 8.66, 2.05, 1.62, 0.09, -0.14
5.10, 2.75, 0.74, -1.68, 0.13, -0.75, 8.22, 0.43, 2.83, -1.23, -0.82, -0.28, 0.96, 7.05, 1.62, -1.34, 0.17, -0.01
2.54, 5.52, 2.02, 0.97, -0.00, 1.14, 9.38, -1.68, 1.25, 0.91, 0.64, -0.55, 0.70, 9.02, 2.32, -0.01, -0.01, -0.06
6.07, 7.03, -2.72, -0.02, 0.48, -0.42, 8.96, 0.95, 2.9, 0.21, -0.17, -0.35, 0.77, 8.92, 2.85, -0.12, 0.13, 0.06
4.24, -4.19, -6.09, 0.64, 0.11, 0.69, 4.69, 4.06, 5.52, 0.77, -0.24, -0.49, 0.54, 9.27, 0.69, -0.10, 0.07, 0.02
