ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3
6.07, -9.46, -6.59, -1.60, -0.33, -1.83, 3.10, 8.19, 3.25, -1.16, -0.55, 0.60, 0.40, 10.01, -0.64, 0.05, -0.03, 0.07
9.84, -7.54, -10.06, 1.51, 0.01, 1.80, 3.61, 9.69, 4.92, 1.38, 0.80, -0.99, 0.40, 8.03, 2.27, 0.45, 0.08, -0.03
5.20, -1.87, -4.90, 1.67, 0.02, 2.19, 5.67, 3.31, 4.77, 1.60, 0.25, -1.52, 0.49, 9.33, 1.15, 0.10, -0.06, -0.03
9.78, -7.82, -10.24, -1.63, -0.47, -1.64, 4.50, 9.15, 4.94, -1.47, -0.33, 1.21, 0.48, 9.75, 0.42, 0.11, -0.06, -0.04
9.79, -6.45, -8.68, 1.56, -0.15, 2.25, 5.23, 8.60, 4.40, 1.56, 0.75, -1.33, 0.73, 8.46, 2.53, 0.24, 0.11, 0.02
7.23, -9.49, -7.90, -3.78, 0.21, -2.86, 2.58, 6.93, 3.62, -3.11, -1.58, 1.88, 0.47, 10.29, -7.34, -1.26, -0.34, 0.19
7.98, -8.00, -7.72, -2.90, 0.50, -2.71, 3.42, 6.97, 4.23, -2.62, -1.30, 1.59, 0.30, 11.20, -5.93, -0.92, -0.14, 0.10
8.59, -8.56, -7.35, 2.04, -0.39, 2.55, 2.24, 9.31, 4.1, 2.27, 1.06, -1.17, 0.31, 8.66, 2.05, 1.62, 0.09, -0.14
8.26, -11.05, -8.95, -0.27, 0.01, -0.25, 0.51, 12.17, 3.63, -0.17, -0.21, 0.40, 0.31, 10.22, -4.23, 1.34, 0.04, -0.09
8.88, -9.16, -7.77, -1.79, 0.04, -2.00, 1.77, 10.13, 3.48, -1.52, -0.87, 1.25, -0.23, 10.67, -6.06, 0.30, 0.08, -0.06
5.79, -10.42, -8.89, -0.39, -0.23, -0.62, 1.18, 10.20, 5.29, -0.28, -0.40, 0.11, 0.50, 9.66, -0.63, 0.27, -0.31, -0.02
0.40, 3.18, -5.04, 1.17, 0.65, 1.36, 5.36, -1.37, 5.78, 1.07, 0.33, -0.46, 0.11, 9.17, 0.18, 0.06, -0.00, -0.01
5.27, -10.08, -7.83, -1.46, -0.54, -1.51, 1.87, 10.01, 4.10, -1.19, -0.59, 0.67, 0.18, 9.31, -1.64, -0.01, -0.15, 0.14
5.52, -10.13, -8.09, -1.68, -0.89, -1.50, 1.53, 10.18, 3.76, -1.35, -0.64, 0.53, 1.01, 9.39, -1.54, 0.11, -0.15, 0.12
